Complaint_Text,Standardized_Complaint,Category,Sentiment,Priority,Village,Date,Pincode,lang
No water supply in the village since 6 days.,no_water_supply,Water,Negative,High,Katphal,06-11-2024,413111,en
Medicines are not available at PHC.,medicines_not_available,Health,Negative,Medium,Someshwar,31-08-2024,412306,en
Electricity supply disrupted in village,other_issue,Electricity,Negative,High,Morgaon,27-06-2025,413304,en
No doctor available at PHC.,doctor_not_available,Health,Negative,High,Nimbut,28-08-2025,413110,en
Large potholes on road,road_potholes,Road,Negative,Low,Morgaon,26-02-2025,413304,en
Village health worker is absent since 6 days.,health_worker_absent,Health,Negative,Medium,Baramati,17-08-2025,413102,en
No doctor available at PHC.,doctor_not_available,Health,Negative,High,Nimbut,05-10-2024,413110,en
Drainage cleaning not done in village,drainage_problem,Sanitation,Negative,High,Someshwar,14-12-2024,412306,en
Village road is damaged due to rain.,road_potholes,Road,Negative,Low,Katphal,03-07-2024,413111,en
No teachers in village school,teachers_not_available,Education,Negative,Low,Someshwar,06-12-2024,412306,en
Frequent power cuts affecting studies,frequent_power_cuts,Electricity,Negative,High,Katphal,02-10-2024,413111,en
Drinking water tank is empty.,water_tank_empty,Water,Negative,High,Katphal,13-05-2024,413111,en
Dustbins are overflowing everywhere.,garbage_not_collected,Sanitation,Negative,Medium,Katphal,28-03-2025,413111,en
Drinking water tank is empty.,water_tank_empty,Water,Negative,High,Morgaon,17-01-2025,413304,en
The road from Daund to nearby town is full of potholes.,road_potholes,Road,Negative,Low,Malegaon,02-07-2025,413115,en
Frequent power cuts in the evening.,frequent_power_cuts,Electricity,Negative,High,Baramati,14-07-2024,413102,en
Frequent power cuts in the evening.,frequent_power_cuts,Electricity,Negative,High,Nimbut,22-07-2024,413110,en
Dustbins are overflowing everywhere.,garbage_not_collected,Sanitation,Negative,Medium,Baramati,06-03-2025,413102,en
Drinking water tank is empty.,water_tank_empty,Water,Negative,High,Someshwar,26-04-2025,412306,en
Village health worker is absent since 7 days.,health_worker_absent,Health,Negative,Medium,Pandare,27-12-2024,413103,en
Water tanker not arrived for 7 days,no_water_supply,Water,Negative,High,Malegaon,21-01-2024,413115,en
Drainage cleaning not done in village,drainage_problem,Sanitation,Negative,High,Malegaon,24-01-2024,413115,en
Drinking water tank is empty.,water_tank_empty,Water,Negative,High,Pandare,12-08-2025,413103,en
No teachers in village school,teachers_not_available,Education,Negative,Low,Pandare,29-03-2025,413103,en
Garbage is not collected regularly in Jejuri.,garbage_not_collected,Sanitation,Negative,Medium,Morgaon,15-10-2024,413304,en
Electric transformer is not working in Someshwar.,electricity_supply_disrupted,Electricity,Negative,High,Baramati,28-04-2024,413102,en
Electricity supply disrupted in village,other_issue,Electricity,Negative,High,Baramati,23-12-2024,413102,en
No one available at panchayat office,panchayat_office_empty,Administrative,Negative,Low,Nimbut,05-06-2024,413110,en
Drinking water tank is empty.,water_tank_empty,Water,Negative,High,Someshwar,11-06-2024,412306,en
Village health worker is absent since 3 days.,health_worker_absent,Health,Negative,Medium,Katphal,05-09-2025,413111,en
Dustbins are overflowing everywhere.,garbage_not_collected,Sanitation,Negative,Medium,Nimbut,22-07-2025,413110,en
Dustbins are overflowing everywhere.,garbage_not_collected,Sanitation,Negative,Medium,Baramati,17-09-2024,413102,en
"Handpump is broken, villagers are suffering.",handpump_broken,Water,Negative,High,Morgaon,15-02-2024,413304,en
Water tanker not arrived for 10 days,no_water_supply,Water,Negative,High,Katphal,16-05-2024,413111,en
Emergency ambulance did not arrive on time.,ambulance_not_arrived,Health,Negative,High,Pandare,12-03-2025,413103,en
Large potholes on road,road_potholes,Road,Negative,Low,Nimbut,28-10-2024,413110,en
Playground is not maintained properly.,playground_not_maintained,Others,Negative,Low,Someshwar,17-07-2025,412306,en
Village road is damaged due to rain.,road_potholes,Road,Negative,Low,Someshwar,23-04-2025,412306,en
No teachers in village school,teachers_not_available,Education,Negative,Low,Morgaon,15-09-2024,413304,en
No electricity for 7 hours continuously.,prolonged_power_cut,Electricity,Negative,High,Katphal,11-02-2024,413111,en
Village road is damaged due to rain.,road_potholes,Road,Negative,Low,Katphal,16-10-2024,413111,en
No one available at panchayat office,panchayat_office_empty,Administrative,Negative,Low,Nimbut,07-03-2024,413110,en
Streetlights are not working at the chowk.,streetlights_not_working,Others,Negative,Low,Katphal,10-08-2025,413111,en
Streetlights are not working at the chowk.,streetlights_not_working,Others,Negative,Low,Pandare,10-04-2024,413103,en
Frequent power cuts in the evening.,frequent_power_cuts,Electricity,Negative,High,Someshwar,07-02-2024,412306,en
No doctor available at PHC.,doctor_not_available,Health,Negative,High,Malegaon,30-05-2025,413115,en
Streetlights are not working at the chowk.,streetlights_not_working,Others,Negative,Low,Malegaon,04-02-2024,413115,en
New road construction needed in village,new_road_required,Road,Neutral,Low,Someshwar,08-10-2024,412306,en
No electricity for 2 hours continuously.,prolonged_power_cut,Electricity,Negative,High,Baramati,22-05-2025,413102,en
Water tanker not arrived for 3 days,no_water_supply,Water,Negative,High,Baramati,28-02-2025,413102,en
New road construction needed in village,new_road_required,Road,Neutral,Low,Nimbut,10-05-2024,413110,en
Road construction is pending for months.,new_road_required,Road,Neutral,Low,Katphal,31-01-2025,413111,en
Village road is damaged due to rain.,road_potholes,Road,Negative,Low,Supa,16-10-2024,413109,en
Drainage water is overflowing on the streets.,other_issue,Sanitation,Negative,Medium,Malegaon,29-04-2025,413115,en
No teachers in village school,teachers_not_available,Education,Negative,Low,Someshwar,29-07-2024,412306,en
Frequent power cuts in the evening.,frequent_power_cuts,Electricity,Negative,High,Katphal,30-08-2025,413111,en
Electric transformer is not working in Jejuri.,electricity_supply_disrupted,Electricity,Negative,High,Baramati,11-01-2025,413102,en
Health camp needed in village,health_camp_needed,Others,Neutral,Low,Morgaon,05-07-2025,413304,en
No teachers in village school,teachers_not_available,Education,Negative,Low,Someshwar,29-01-2025,412306,en
Drainage cleaning not done in village,drainage_problem,Sanitation,Negative,High,Baramati,10-05-2025,413102,en
Electricity supply disrupted in village,other_issue,Electricity,Negative,High,Nimbut,16-05-2024,413110,en
No electricity for 7 hours continuously.,prolonged_power_cut,Electricity,Negative,High,Nimbut,22-04-2024,413110,en
Dustbins are overflowing everywhere.,garbage_not_collected,Sanitation,Negative,Medium,Morgaon,07-09-2024,413304,en
Drainage water is overflowing on the streets.,other_issue,Sanitation,Negative,Medium,Someshwar,12-05-2024,412306,en
Drainage cleaning not done in village,drainage_problem,Sanitation,Negative,High,Baramati,15-10-2024,413102,en
Playground is not maintained properly.,playground_not_maintained,Others,Negative,Low,Pandare,23-08-2025,413103,en
No doctor available at PHC.,doctor_not_available,Health,Negative,High,Malegaon,05-07-2024,413115,en
Electric transformer is not working in Loni.,electricity_supply_disrupted,Electricity,Negative,High,Someshwar,20-05-2025,412306,en
No doctor available at PHC.,doctor_not_available,Health,Negative,High,Morgaon,29-06-2025,413304,en
Electric transformer is not working in Bhigwan.,electricity_supply_disrupted,Electricity,Negative,High,Pandare,16-05-2025,413103,en
Electricity supply disrupted in village,other_issue,Electricity,Negative,High,Baramati,21-06-2025,413102,en
Village road is damaged due to rain.,road_potholes,Road,Negative,Low,Katphal,18-01-2025,413111,en
Water tanker not arrived for 9 days,no_water_supply,Water,Negative,High,Malegaon,12-02-2024,413115,en
Water tanker not arrived for 9 days,no_water_supply,Water,Negative,High,Malegaon,15-06-2025,413115,en
Frequent power cuts affecting studies,frequent_power_cuts,Electricity,Negative,High,Supa,05-05-2025,413109,en
No electricity for 6 hours continuously.,prolonged_power_cut,Electricity,Negative,High,Katphal,14-07-2024,413111,en
No water supply in the village since 3 days.,no_water_supply,Water,Negative,High,Katphal,24-02-2025,413111,en
New road construction needed in village,new_road_required,Road,Neutral,Low,Katphal,21-02-2025,413111,en
